MD5,TAG,FILENAMES
921a08849ea5335efae0fd1331a015d8,M,['s1-1_055-n.M.obj']
c9245cf2e5eff73733730df01772b351,T,['s1-1_055-n.T.obj']
f6881559d09f31acfd46f2ab114abc9d,F,['s1-1_057-n.F.obj']
707029b4b112389609bad969bedad165,L,['s1-1_057-n.L.obj']
72c9a3a347926a5aa06bf68a5dba01fb,M,['s1-1_057-n.M.obj']
4ac4c88fce9210c0aa05c18c3ca7dbdf,T,['s1-1_057-n.T.obj']
22bfdf0344aa27090140d01eb94e477b,F,['s1-1_059-n.F.obj']
cbcb7521c4dcea373ce8a635d0e02a11,L,['s1-1_059-n.L.obj']
0198f4bf2f5b6637a99ec5306c3b9779,M,['s1-1_059-n.M.obj']
a0a4d6eab50291297abb1f1e3aabe388,S,['s1-1_059-n.S.obj']
f12e993b62396679d899d8285e469012,T,['s1-1_059-n.T.obj']
668790319cf175e0739d020b4aade541,S,"['s1-1_059_2-n.S.obj', 's1-1_061-n.S.obj', 's1-3_095-n.S.obj']"
800b0bf2b300da3edf5630a656eba971,S,"['s1-1_059_3-n.S.obj', 's1-1_067-n.S.obj', 's1-3_102-n.S.obj']"
b36c642d50a7c937b99dce4aa3e76d41,S,"['s1-1_059_4-n.S.obj', 's1-1_063-n.S.obj']"
268fab921595e7a236aa8553ac4d097c,S,"['s1-1_059_5-n.S.obj', 's1-1_069-n.S.obj']"
00dc38f6b49809f749a1d520a78d8967,S,"['s1-1_059_6-n.S.obj', 's1-1_065-n.S.obj', 's1-3_096-n.S.obj']"
7619e703eac43d6743c8d0a653af9c35,F,['s1-1_061-n.F.obj']
f79878ee245cfb0692e60979ca6c3091,L,['s1-1_061-n.L.obj']
7a62d75e05e5a8fdfe80f6cda3253c63,M,['s1-1_061-n.M.obj']
f4b23620c76debfb5e459ae65e91ab63,T,['s1-1_061-n.T.obj']
84d88ed6d9bfc678688f6879b9f3898f,F,['s1-1_063-n.F.obj']
f2f461e6222e43bcc732c83a7b5d7bb5,L,['s1-1_063-n.L.obj']
67c67afe3dad3819c088dd78f3673797,M,['s1-1_063-n.M.obj']
f7c45faa39a8540f28c6d48958cfe7b3,T,['s1-1_063-n.T.obj']
c094f8880139c7a9931fc2798a4971ab,F,['s1-1_065-n.F.obj']
1f7289eb9e1a635f6702055538cc7f87,L,['s1-1_065-n.L.obj']
8c021a40179c3d25bc61dfa83830614a,M,['s1-1_065-n.M.obj']
4cee5558afb3dfebe21eaf4e2bc6fdcd,T,['s1-1_065-n.T.obj']
63c3b3aba0a619e8df19ffd40d1f6c19,F,['s1-1_067-n.F.obj']
9bc9c2cc3cd9099a8219350559976e69,L,['s1-1_067-n.L.obj']
f8580ac680b76f42ffeb5dde74948ea1,M,['s1-1_067-n.M.obj']
80276fe7b949f89d74c408e139d51e82,T,['s1-1_067-n.T.obj']
72ff3dcd0041cfcb330378f7d315489d,F,['s1-1_069-n.F.obj']
3fc6ee029da9a9e4abc12ceda5a86911,L,['s1-1_069-n.L.obj']
d5730119f8aaee40dd5feacdf3748c24,M,['s1-1_069-n.M.obj']
25fb2fb21b8145e94d01bd392dcd5677,T,['s1-1_069-n.T.obj']
3e37f47a3414a6e6f7466916ae312270,F,['s1-1_071-n.F.obj']
3ec079823bdec50648d3252e77b16943,L,['s1-1_071-n.L.obj']
27712e834730d65a9bc87034f95b3de8,M,['s1-1_071-n.M.obj']
301cc9f22c8bb69e4588f8dd11444196,S,['s1-1_071-n.S.obj']
e298cb34a322755ce311e54ab5171635,T,['s1-1_071-n.T.obj']
58596373973a1efbb1ba5fe6f077e570,S,"['s1-1_071_2-n.S.obj', 's1-1_075-n.S.obj', 's1-3_101-n.S.obj']"
c77589c2acff4cfeb78aefec7d519aa3,S,"['s1-1_071_3-n.S.obj', 's1-1_077-n.S.obj', 's1-3_100-n.S.obj']"
43da0489f8b92e97b0fa0216d6df89ad,S,"['s1-1_071_4-n.S.obj', 's1-1_079-n.S.obj']"
f1d63f51c3787f2e880f6d1e564aadd5,S,"['s1-1_071_5-n.S.obj', 's1-1_073-n.S.obj', 's1-3_098-n.S.obj']"
d1c10686af0f9f4ca73f1518ecc25e89,F,['s1-1_073-n.F.obj']
4486ba6ab33f4df6834b2d3fba70bde0,L,['s1-1_073-n.L.obj']
f203dc18ad68fbfa544ba52439413356,M,['s1-1_073-n.M.obj']
29fad8b330ea751689c12240edd2cef2,T,['s1-1_073-n.T.obj']
ba26304792ec65775b0a81d9f9384a56,F,['s1-1_075-n.F.obj']
557ebc7ff85f03116edd5d961cc91dcb,L,['s1-1_075-n.L.obj']
e64ca1440b843f455d150e3699a50b7d,M,['s1-1_075-n.M.obj']
4a358c544de19c7d59eea1f246d46295,T,['s1-1_075-n.T.obj']
7349bfe73dcc1b2a41bf85da66b13fef,F,['s1-1_077-n.F.obj']
b07ff6b901537fddca6765e61a7e11a5,L,"['s1-1_077-n.L.obj', 's1-3_100-n.L.obj']"
18873a94039ca7f0f8ba8e881a539247,M,['s1-1_077-n.M.obj']
ab4a5fac7d779b3c12e88d9890b910a9,T,['s1-1_077-n.T.obj']
885bc7eb9e77ff9f34d09fc356c7ea33,F,['s1-1_079-n.F.obj']
aa121093bf64710b13f2a86fe00e0310,L,['s1-1_079-n.L.obj']
f5b8d10848928dfb83e9658898cc1627,M,['s1-1_079-n.M.obj']
b34065f4b0613a7da1731fb4ab01017c,T,['s1-1_079-n.T.obj']
0b089a7638ddb862042cf74b9956851e,F,['s1-2_004-n.F.obj']
7b0c2c00c05445eeb3d7cfacb23ec027,L,['s1-2_004-n.L.obj']
c6f81222bc6b8c6ff3963595dc49f615,M,['s1-2_004-n.M.obj']
b5c1728ff597b7fdece6abd24f38596a,S,['s1-2_004-n.S.obj']
edab04570eac3db3e01b6150aa29caf9,T,['s1-2_004-n.T.obj']
81c5458b51268281fb138e3419020f1c,F,['s1-2_005-n.F.obj']
bc3085487f800a3020cbea65a69838ff,L,['s1-2_005-n.L.obj']
279d71d5bdfc114aef1894ff86d3b678,M,['s1-2_005-n.M.obj']
1b289cd21b1ee5301975faa831586023,S,['s1-2_005-n.S.obj']
e7cf66cc795965e4e7a581f7fd9b6a8e,T,['s1-2_005-n.T.obj']
101046c7612d9d2d5dbdb2d1590e7c70,F,['s1-2_006-n.F.obj']
480dccfea540e01190a1546bc699a6e4,L,['s1-2_006-n.L.obj']
674f1e1007e30d562f4a09fdccedf987,M,['s1-2_006-n.M.obj']
7be3fa7be4021173254aeac0b5502b11,S,['s1-2_006-n.S.obj']
fb9e81c40ce027b91e11997eb4ee6180,T,['s1-2_006-n.T.obj']
01458f7dbd2b9469da24faf40de85920,F,['s1-2_007-n.F.obj']
31dd4d78a0fe17b1c91aa15e4847d860,L,['s1-2_007-n.L.obj']
73bbb94f2608cf009e86cafe68b58dbd,M,['s1-2_007-n.M.obj']
c2d1fd32e1bc269714dfc22460ed888e,S,['s1-2_007-n.S.obj']
df13a5b7570b5d95515eb858d2e8cbe1,T,['s1-2_007-n.T.obj']
4a295d21dddb6754e4e235637f4d08d6,F,['s1-3_083-n.F.obj']
854dd0b4fd37b5bcc853dc44147b02e3,L,['s1-3_083-n.L.obj']
fbf9026a8051af6b17eb5e43a24406c1,M,['s1-3_083-n.M.obj']
0cb6c0ed6a3394609aa0dd43a2c22609,T,['s1-3_083-n.T.obj']
f0b74f452762efec7fd4895891e32c75,F,['s1-3_084-n.F.obj']
7f9cdb1dba75462d62d482de79b7d2fa,L,['s1-3_084-n.L.obj']
6dc9f3b8ec20189d3fed067717a4ba3b,M,['s1-3_084-n.M.obj']
4cfe3bcf18f26744d25df3cb03291901,T,['s1-3_084-n.T.obj']
ce4e8ad0939ff3882db982397426a9c8,F,['s1-3_085-n.F.obj']
7d3d491a48754d253cec25c92ba9709d,M,['s1-3_085-n.M.obj']
a4db58e23ce25858982e1360f4d1b114,T,['s1-3_085-n.T.obj']
3b7d1447c841984fae558e554023ca12,F,['s1-3_086-n.F.obj']
21dd8f84b54fc3f03e0df57cbff2c540,L,['s1-3_086-n.L.obj']
fc4340d2b16eae482d0222b21176aa2e,M,['s1-3_086-n.M.obj']
3eae83768f43f8ceb9aa923d8d7707ad,T,['s1-3_086-n.T.obj']
0a07e8070faffdbd5efa84862e9bf40d,F,['s1-3_087-n.F.obj']
8362ce9b8c9525011e65d554a3deb44a,L,['s1-3_087-n.L.obj']
9975c71c0b02ae2306a48406bb59999a,M,['s1-3_087-n.M.obj']
baf914c159bc51f2585173cd10a8345d,T,['s1-3_087-n.T.obj']
18effbb8bbf138a16b73b13b213dd026,F,['s1-3_088-n.F.obj']
47266f98e10d461bd63f52f64b1bc7ab,L,['s1-3_088-n.L.obj']
3ed771b98b4f570ebfc1d5f3a6b6fb03,M,['s1-3_088-n.M.obj']
151227b10d75375f7a41b7314a6d3e1d,T,['s1-3_088-n.T.obj']
c3aeb0912cb361d7b1220c11d0e6f8a8,F,['s1-3_089-n.F.obj']
5fe35bc4105721cfcf460715eb7ebfda,L,['s1-3_089-n.L.obj']
4306d306c0714eab2f35c01cb9d29b90,M,['s1-3_089-n.M.obj']
a5a8732628bd854a09b677879f79662e,T,['s1-3_089-n.T.obj']
eca46b1cea37f1899c81d57e8c93bd3c,F,['s1-3_090-n.F.obj']
39382f4e81e203406af4dc475a8cf16a,L,['s1-3_090-n.L.obj']
3cb52a9c5dd94872e44b7729812edde9,M,['s1-3_090-n.M.obj']
06b7a6795344c16095f2778bbbcc8d6a,T,['s1-3_090-n.T.obj']
d32d2c58eb6879298955f08e1e16d062,F,['s1-3_091-n.F.obj']
